Feelings	Functions	Attributes	Number
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 38.121848, Y Length = 64.340621, Height = 67.499494, Number of Points = 76.91217, Distribution Seed = 10.214563, Mesh Relaxation = 0.15205, Smooth Level = 1, 	11
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 99.72065, Y Length = 81.266639, Height = 54.016765, Number of Points = 47.752299, Distribution Seed = 98.681781, Mesh Relaxation = 0.470015, Smooth Level = 1, 	12
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 70.767827, Y Length = 40.049055, Height = 65.254066, Number of Points = 44.501405, Distribution Seed = 79.587923, Mesh Relaxation = 0.809881, Smooth Level = 1, 	13
Pensiveness, Joy, Grief, Loathing, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 30.178449, Y Length = 49.333635, Height = 94.114586, Number of Points = 48.640996, Distribution Seed = 71.981787, Mesh Relaxation = 0.747502, Smooth Level = 1, 	14
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 55.203033, Y Length = 17.857811, Height = 37.388956, Number of Points = 39.095619, Distribution Seed = 67.273788, Mesh Relaxation = 0.214523, Smooth Level = 1, 	15
Pensiveness, Joy, Grief, Loathing, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 17.271224, Y Length = 27.209541, Height = 78.108974, Number of Points = 81.79063, Distribution Seed = 26.092492, Mesh Relaxation = 0.072471, Smooth Level = 1, 	16
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 70.659795, Y Length = 10.185825, Height = 10.831034, Number of Points = 14.869412, Distribution Seed = 34.113122, Mesh Relaxation = 0.284211, Smooth Level = 1, 	17
Pensiveness, Joy, Grief, Loathing, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work, Exhibiting, Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 44.466874, Y Length = 57.489219, Height = 75.516215, Number of Points = 70.025374, Distribution Seed = 6.014459, Mesh Relaxation = 0.300167, Smooth Level = 1, 	18
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 65.480065, Y Length = 52.686854, Height = 21.944348, Number of Points = 50.094875, Distribution Seed = 74.150179, Mesh Relaxation = 0.414547, Smooth Level = 1, 	19
Pensiveness, Joy, Grief, Loathing, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 34.971273, Y Length = 21.412767, Height = 69.237178, Number of Points = 73.023776, Distribution Seed = 57.652511, Mesh Relaxation = 0.032045, Smooth Level = 1, 	20
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 42.154245, Y Length = 47.800863, Height = 10.056675, Number of Points = 73.785442, Distribution Seed = 99.152726, Mesh Relaxation = 0.13115, Smooth Level = 1, 	21
Pensiveness, Joy, Ecstasy, Loathing, Disgust, Boredom, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work, Exhibiting, Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 51.741239, Y Length = 97.130014, Height = 78.724158, Number of Points = 50.866356, Distribution Seed = 25.923848, Mesh Relaxation = 0.283782, Smooth Level = 1, 	22
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 87.263537, Y Length = 32.041659, Height = 29.014741, Number of Points = 99.852696, Distribution Seed = 96.517435, Mesh Relaxation = 0.474865, Smooth Level = 1, 	23
Pensiveness, Joy, Grief, Loathing, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 29.44993, Y Length = 23.130641, Height = 60.502042, Number of Points = 64.699694, Distribution Seed = 98.095369, Mesh Relaxation = 0.25889, Smooth Level = 1, 	24
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 61.723988, Y Length = 34.645917, Height = 14.325624, Number of Points = 68.845107, Distribution Seed = 26.161984, Mesh Relaxation = 0.399494, Smooth Level = 1, 	25
Pensiveness, Joy, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 16.061227, Y Length = 88.011424, Height = 28.238183, Number of Points = 45.237876, Distribution Seed = 99.852852, Mesh Relaxation = 0.155027, Smooth Level = 1, 	26
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 71.643068, Y Length = 10.564511, Height = 27.969551, Number of Points = 56.292086, Distribution Seed = 25.636408, Mesh Relaxation = 0.549828, Smooth Level = 2, 	27
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 90.691876, Y Length = 36.299588, Height = 84.695815, Number of Points = 28.816397, Distribution Seed = 10.159965, Mesh Relaxation = 0.852288, Smooth Level = 2, 	28
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 91.610625, Y Length = 58.779877, Height = 63.860256, Number of Points = 26.666436, Distribution Seed = 69.707009, Mesh Relaxation = 0.404648, Smooth Level = 1, 	29
Pensiveness, Joy, Grief, Loathing, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 18.720479, Y Length = 61.632932, Height = 60.796464, Number of Points = 54.925878, Distribution Seed = 14.614577, Mesh Relaxation = 0.872559, Smooth Level = 1, 	30
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 85.518464, Y Length = 72.444618, Height = 14.076523, Number of Points = 37.031977, Distribution Seed = 6.097957, Mesh Relaxation = 0.339725, Smooth Level = 1, 	31
Serenity, Joy, Grief, Loathing, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 97.281338, Y Length = 43.995932, Height = 35.354875, Number of Points = 53.444963, Distribution Seed = 5.649178, Mesh Relaxation = 0.977184, Smooth Level = 2, 	32
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 99.861556, Y Length = 50.547051, Height = 19.954822, Number of Points = 12.267102, Distribution Seed = 10.22644, Mesh Relaxation = 0.157049, Smooth Level = 1, 	33
Pensiveness, Joy, Grief, Admiration, Disgust, Boredom, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 35.396446, Y Length = 33.778269, Height = 71.530886, Number of Points = 34.187574, Distribution Seed = 58.745375, Mesh Relaxation = 0.787893, Smooth Level = 1, 	34
Pensiveness, Joy, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 31.264151, Y Length = 19.730749, Height = 36.096602, Number of Points = 90.941826, Distribution Seed = 67.051082, Mesh Relaxation = 0.867994, Smooth Level = 1, 	35
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 33.425606, Y Length = 25.308507, Height = 23.070665, Number of Points = 17.528059, Distribution Seed = 93.14984, Mesh Relaxation = 0.507707, Smooth Level = 1, 	36
Pensiveness, Joy, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 54.823762, Y Length = 33.4221, Height = 77.448577, Number of Points = 79.137114, Distribution Seed = 38.770988, Mesh Relaxation = 0.279514, Smooth Level = 1, 	37
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 94.564175, Y Length = 29.209293, Height = 55.635796, Number of Points = 14.890057, Distribution Seed = 7.583563, Mesh Relaxation = 0.535694, Smooth Level = 1, 	38
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work, Exhibiting, Gathering Nodes, Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 96.662696, Y Length = 97.89837, Height = 88.300637, Number of Points = 35.011923, Distribution Seed = 22.35553, Mesh Relaxation = 0.660929, Smooth Level = 1, 	39
Pensiveness, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 29.128251, Y Length = 15.15519, Height = 75.773194, Number of Points = 94.090039, Distribution Seed = 43.76033, Mesh Relaxation = 0.448321, Smooth Level = 2, 	40
Pensiveness, Joy, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 29.022053, Y Length = 24.703215, Height = 79.232665, Number of Points = 99.419094, Distribution Seed = 70.025383, Mesh Relaxation = 0.858864, Smooth Level = 2, 	41
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 75.841206, Y Length = 80.870119, Height = 34.255088, Number of Points = 14.119954, Distribution Seed = 27.984637, Mesh Relaxation = 0.83829, Smooth Level = 1, 	42
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 77.008521, Y Length = 74.498775, Height = 44.354848, Number of Points = 54.150303, Distribution Seed = 38.001434, Mesh Relaxation = 0.738504, Smooth Level = 1, 	43
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 84.578405, Y Length = 40.1405, Height = 85.790267, Number of Points = 93.720191, Distribution Seed = 49.50317, Mesh Relaxation = 0.383292, Smooth Level = 1, 	44
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Fear, Annoyance, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 73.068945, Y Length = 69.368328, Height = 15.104133, Number of Points = 88.523248, Distribution Seed = 69.925543, Mesh Relaxation = 0.69287, Smooth Level = 1, 	45
Pensiveness, Joy, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 48.039278, Y Length = 79.051171, Height = 85.11101, Number of Points = 20.869365, Distribution Seed = 22.222266, Mesh Relaxation = 0.624573, Smooth Level = 1, 	46
Pensiveness, Joy, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 45.262772, Y Length = 49.347465, Height = 40.517733, Number of Points = 5.193149, Distribution Seed = 81.290533, Mesh Relaxation = 0.592089, Smooth Level = 1, 	47
Pensiveness, Joy, Grief, Loathing, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 80.196581, Y Length = 73.391879, Height = 36.73323, Number of Points = 37.090414, Distribution Seed = 40.14858, Mesh Relaxation = 0.93459, Smooth Level = 1, 	48
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 76.02378, Y Length = 12.132957, Height = 30.096406, Number of Points = 46.324864, Distribution Seed = 3.201071, Mesh Relaxation = 0.498157, Smooth Level = 1, 	49
Serenity, Joy, Grief, Loathing, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 55.341602, Y Length = 38.4516, Height = 74.541281, Number of Points = 79.005075, Distribution Seed = 81.240037, Mesh Relaxation = 0.290219, Smooth Level = 1, 	50
Pensiveness, Joy, Grief, Loathing, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 95.718831, Y Length = 49.635165, Height = 48.493873, Number of Points = 10.533561, Distribution Seed = 23.942298, Mesh Relaxation = 0.352253, Smooth Level = 1, 	51
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 67.717774, Y Length = 26.129561, Height = 78.195142, Number of Points = 8.726502, Distribution Seed = 1.212892, Mesh Relaxation = 0.399428, Smooth Level = 2, 	52
Pensiveness, Joy, Grief, Admiration, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 49.849273, Y Length = 81.756674, Height = 86.696736, Number of Points = 34.095653, Distribution Seed = 94.819855, Mesh Relaxation = 0.44519, Smooth Level = 1, 	53
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 98.670865, Y Length = 42.845882, Height = 30.169949, Number of Points = 30.258632, Distribution Seed = 20.381044, Mesh Relaxation = 0.513099, Smooth Level = 1, 	54
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 41.842295, Y Length = 92.031509, Height = 23.554903, Number of Points = 14.769676, Distribution Seed = 75.30238, Mesh Relaxation = 0.079224, Smooth Level = 1, 	55
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 62.801077, Y Length = 65.560654, Height = 98.559474, Number of Points = 23.97222, Distribution Seed = 24.605776, Mesh Relaxation = 0.446902, Smooth Level = 1, 	56
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 88.347865, Y Length = 96.153139, Height = 52.128558, Number of Points = 67.082851, Distribution Seed = 96.675152, Mesh Relaxation = 0.355058, Smooth Level = 2, 	57
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 89.914645, Y Length = 83.514166, Height = 26.349133, Number of Points = 20.40696, Distribution Seed = 84.042174, Mesh Relaxation = 0.679527, Smooth Level = 1, 	58
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 63.24671, Y Length = 87.40041, Height = 19.930487, Number of Points = 85.595485, Distribution Seed = 50.726412, Mesh Relaxation = 0.853565, Smooth Level = 1, 	59
Pensiveness, Joy, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 19.07663, Y Length = 88.078877, Height = 33.041294, Number of Points = 48.428107, Distribution Seed = 89.208804, Mesh Relaxation = 0.524349, Smooth Level = 1, 	60
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 55.261852, Y Length = 54.900697, Height = 14.048147, Number of Points = 19.671019, Distribution Seed = 47.381444, Mesh Relaxation = 0.760375, Smooth Level = 1, 	61
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 82.977659, Y Length = 40.908605, Height = 96.954401, Number of Points = 56.663543, Distribution Seed = 50.863872, Mesh Relaxation = 0.780867, Smooth Level = 1, 	62
Pensiveness, Joy, Ecstasy, Loathing, Disgust, Boredom, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 70.056302, Y Length = 42.172603, Height = 69.947765, Number of Points = 71.476762, Distribution Seed = 45.520219, Mesh Relaxation = 0.69764, Smooth Level = 1, 	63
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 40.889099, Y Length = 10.317373, Height = 79.194396, Number of Points = 77.988165, Distribution Seed = 68.530398, Mesh Relaxation = 0.076139, Smooth Level = 1, 	64
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 70.011304, Y Length = 41.468997, Height = 75.747534, Number of Points = 98.590381, Distribution Seed = 49.618678, Mesh Relaxation = 0.771494, Smooth Level = 1, 	65
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 95.216585, Y Length = 92.58356, Height = 11.061856, Number of Points = 85.911659, Distribution Seed = 13.788581, Mesh Relaxation = 0.506779, Smooth Level = 1, 	66
Pensiveness, Joy, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 40.754717, Y Length = 28.35532, Height = 61.527881, Number of Points = 24.377229, Distribution Seed = 98.899465, Mesh Relaxation = 0.096494, Smooth Level = 1, 	67
Pensiveness, Joy, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 87.13342, Y Length = 37.886569, Height = 61.169197, Number of Points = 31.879353, Distribution Seed = 16.588817, Mesh Relaxation = 0.777647, Smooth Level = 1, 	68
